Date,ID,Tweet
23/04/2020 02:42,1.38E+18,A #Hindu MLA was stripped naked and beaten brutally in #Congress ruled #Punjab by so called farmer's of #FarmersProtest.\n\nImagine the same if had happened to a Sikh Or Muslim MLA or individual in a #BJP ruled state.\n\nI know you can't even imagine that...\n\nDesh jal gaya hota
24/04/2020 02:42,1.38E+18,@ikaur_deep On it!\n#StopHateAgainstFarmers #FarmersProtest = #HumanRights\n#Desh_Ka_Gaddar_RSS\n#\u0926\u0947\u0936_\u0935\u093f\u0930\u094b\u0927\u0940_\u0938\u0902\u0918\u091f\u0928_RSS 
25/04/2020 02:43,1.38E+18,Trending on No :- 4 with 4712 tweets...please keep posting in the support of the Farmers.... Let's make it No:-1 #FarmersProtest #StopHateAgainstFarmers https://t.co/VCEf765Jzf
26/04/2020 02:43,1.38E+18,When dictatorship grows the people have to bring about a Revolution #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #StopHateAgainstFarmers #FarmersProtest https://t.co/wIFMUGhs8l
27/04/2020 02:43,1.38E+18,#StopHateAgainstFarmers because #FarmersProtest r paid Khalistani terrorist real #Farmers r hard working and working in their khet-khaliyan
28/04/2020 02:44,1.38E+18,Dear bhakts we have so much for you guys to be mad about.. just be patient... #FarmersProtest #StopHateAgainstFarmers https://t.co/IITTfrxYGh 
29/04/2020 02:44,1.38E+18,Stop Hating Farmers. We are the Nation Builders. Not go back Just observe the period of CORONA It is the Agriculture Sector that railed the National Economy on Track. You people Hate them... THINK. United we STAND and WIN. #StopHateAgainstFarmers #FarmersProtest https://t.co/7Il1UD1lnx
30/04/2020 02:44,1.38E+18,This Fascist Regime and it's #GodiMedia are working in tandem with a propaganda to Derail the #FarmersProtest and this hate propaganda needs to Stopped Now. \n\ud835\uddea\ud835\uddf2'\ud835\uddff\ud835\uddf2 \ud835\uddd9\ud835\uddee\ud835\uddff\ud835\uddfa\ud835\uddf2\ud835\uddff\ud835\ude00 \ud835\udde1\ud835\uddfc\ud835\ude01 \ud835\udde7\u00e9\ud835\uddff\ud835\uddff\u00f3\ud835\uddff\ud835\uddf6\ud835\ude00\ud835\ude01.\n#StopHateAgainstFarmers \n@RakeshTikaitBKU @LambaAlka @sushant_says https://t.co/mADLYVroku 
01/05/2020 02:45,1.38E+18,Farmers deserve respect not hate! \n\n#StopHateAgainstFarmers\n#FarmersProtest
02/05/2020 02:45,1.38E+18,Farmers are doing everything they can to provide for their families while they grow food for our families. Don\u2019t you think they deserve our respect? Don\u2019t they deserve a decent living? Why can\u2019t they ask for govt to repeal the farm bills! #StopHateAgainstFarmers #FarmersProtest https://t.co/sHHcJgzfxC 
03/05/2020 02:45,1.38E+18,Why does the bjp govt have a problem with peacefully protesting farmers? The farmers only want their elected officials to do their job by listening to them &amp; repeal the farm bills. Instead the govt is spreading hate. Why?! #StopHateAgainstFarmers #FarmersProtest https://t.co/ml5MRTDWHt 
04/05/2020 02:46,1.38E+18,Kindness. The only possible method when dealing with a living creature. #FarmersProtest #StopHateAgainstFarmers https://t.co/TEbVm26kPF 
05/05/2020 02:46,1.38E+18,We want the BJP government to stop spreading hatred against farmers and repeal anti-farmer laws as soon as possible.. Repeal black farm laws @nstomar #StopHateAgainstFarmers #FarmersProtest https://t.co/B2wQDcQ7Hj ! 
06/05/2020 02:47,1.38E+18,Instead of listening to what the farmers want Bjp govt is trying everything to suppress the voices of the farmers. Why? What is the govt trying to hide?! #StopHateAgainstFarmers #\u0938\u0930\u0915\u093e\u0930_MSP_\u0915\u0947\u0902\u0926\u094d\u0930_\u0916\u094b\u0932\u094b #Desh_Ka_Gaddar_RSS #GoBackModi #FarmersProtest https://t.co/BDKDKj0qyo!
07/05/2020 02:47,1.38E+18,@Prabhjo45866124 cute small #farmer he learning  passion with determination and he doesnt about age and strength \n\u263a\n#StopHateAgainstFarmers \n#FarmersProtest 
08/05/2020 02:47,1.38E+18,You hate farmers I hate you \nif you love them I love you! ;) \n\n#StopHateAgainstFarmers \n#FarmersProtest
09/05/2020 02:48,1.38E+18,In addition to respecting our farmers I humbly request everyone supporting #FarmersProtest to respect each other. We can have disagreements but let\u2019s try to show some integrity. \n\n#StopHateAgainstFarmers https://t.co/i8DCrVaWtz
10/05/2020 02:48,1.38E+18,#FarmersProtest is everyone's protest #FarmersProtest #FarmersProtests #FarmLaws_DeathWarrant https://t.co/l5rKDm0GME 
11/05/2020 02:48,1.38E+18,#StopHateAgainstFarmers #FarmersProtest has encouraged and established religious harmony in the nation. 
12/05/2020 02:49,1.38E+18,Stop Targeting our Farmers again and again ...Nation know real enemy of the nation is Godi media who is a paid puppet of the modi.. #FarmersProtest #StopHateAgainstFarmers https://t.co/5TctBxshZj 
13/05/2020 02:49,1.38E+18,We want the BJP government to stop spreading hatred against farmers and repeal anti-farmer laws as soon as possible.. Repeal black farm laws @nstomar #StopHateAgainstFarmers #FarmersProtest https://t.co/B2wQDcQ7Hj 
